stockPrice,Sector,numberOfShares,cashAndCashEquivalents,shortTermInvestments,netReceivables,inventory,otherCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,longTermInvestments,otherNonCurrentAssets,accountPayables,shortTermDebt,longTermDebt,deferredRevenueNonCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,deferredTaxLiabilitiesNonCurrent,otherLiabilities,capitalLeaseObligations,preferredStock,commonStock,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,revenue,costOfRevenue,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,operatingExpenses,costAndExpenses,interestIncome,depreciationAndAmortization,operatingIncome,operatingIncomeRatio,ebitdaratio,incomeBeforeTaxRatio,netIncomeRatio,epsdiluted
52.315,2,151124000,100886000,65147000,137466000,91050000,18058000,154039000,732667000,579429000,0,5668000,16210000,12500000,492660000,0,5764000,9084000,58427000,89754000,0,0,0,379000,-83521000,316797000,714006000,240515000,62413000,236867000,0,236867000,326387000,566902000,569000,21705000,78171000,146719000,0.20548706873611705,0.29676361263070616,0.1568824351616093,0.13455349114713322,0.6175563097809318
296.73,2,187100000,2913700000,1562200000,2470700000,804200000,631000000,3674300000,5757800000,3527400000,2660900000,0,530800000,1495800000,4871700000,0,71400000,0,2765800000,2810800000,0,412700000,0,100000,-135200000,-2977100000,14377900000,1955400000,2280600000,0,0,2374700000,5386800000,7342200000,120000000,187400000,680600000,7042600000,0.48982118390029145,0.550462863144131,0.495614797710375,0.4095521599120873,31.42
502.7,8,156014343,4829000000,0,3179000000,0,0,715000000,14562000000,18369000000,5489000000,121479000000,1167000000,0,4955000000,0,0,0,0,3734000000,0,0,0,2000000,-571000000,12454000000,14539000000,7133000000,0,1324000000,350000000,1674000000,1771000000,8904000000,97000000,203000000,405000000,5551000000,0.3818006740491093,0.4364124080060527,0.3980328770892083,0.30786161359103104,28.43
50.33,8,939623000,114683000000,57763000000,5924000000,0,0,3625000000,17386000000,4697000000,136898000000,0,18758000000,3959000000,28100000000,0,5642000000,0,0,0,339780000000,0,3542000000,14000000,-2638000000,8671000000,16088000000,0,0,6063000000,0,6063000000,0,0,7548000000,4360000000,1315000000,0,0,0.6984087518647439,0.34727747389358526,0.2760442565887618,4.51
325.76,1,567857143,9485000000,545000000,12471000000,76622000000,3106000000,12502000000,8060000000,3338000000,1092000000,5721000000,15553000000,7340000000,19804000000,0,670000000,51551000000,22198000000,413000000,0,229000000,0,5061000000,-16153000000,-48169000000,76559000000,72093000000,3219000000,3909000000,0,3909000000,7128000000,79221000000,0,722000000,2271000000,-1975000000,-0.025797097663240117,0.009587377055604175,-0.029506654998106036,-0.0083073185386434,-1.12
2053.73,6,43082000,6312000000,998000000,1680000000,0,843000000,1358000000,2913000000,1954000000,4477000000,867000000,1239000000,988000000,7640000000,0,0,1561000000,1578000000,876000000,0,462000000,0,0,-191000000,-17108000000,15066000000,0,285000000,3330000000,5922000000,9252000000,9721000000,9721000000,152000000,266000000,641000000,5345000000,0.3547723350590734,0.45566175494490907,0.3954599761051374,0.32291251825302003,111.82
43.38,6,206407543,832000000,0,1921000000,807000000,276000000,3010000000,1842000000,402000000,316000000,217000000,1325000000,304000000,1741000000,49000000,127000000,0,573000000,125000000,0,85000000,0,3000000,-727000000,-512000000,10168000000,8067000000,0,0,0,873000000,873000000,8940000000,12000000,55000000,439000000,1303000000,0.128147128245476,0.16797797010228166,0.12440991345397324,0.07336742722265932,3.61
137.86,10,154582000,644950000,0,1247515000,0,88621000,0,0,0,992394000,18311425000,377553000,0,12236028000,0,0,0,260729000,0,0,424222000,200000000,1548000,-48335000,6291997000,2960562000,1094400000,0,140777000,0,140777000,818541000,1912941000,18939000,412717000,680176000,1047621000,0.35385882815492464,0.545310991629292,0.22022811885040747,0.17616047223466355,3.3
45.22,2,1391500000,217000000,0,1933000000,1579000000,970000000,2415000000,10176000000,7886000000,458000000,735000000,542000000,1416000000,8579000000,0,265000000,144000000,2499000000,595000000,0,282000000,0,16000000,270000000,15844000000,10735000000,3116000000,1174000000,3941000000,0,3941000000,5879000000,8995000000,30000000,473000000,1011000000,1518000000,0.14140661387983233,0.20223567768979972,0.063996273870517,0.43782021425244527,3.33
64.19,2,1705000000,12346000000,3047000000,7685000000,4293000000,1983000000,6252000000,22488000000,63969000000,767000000,6604000000,2445000000,3479000000,44059000000,424000000,1517000000,0,10863000000,6454000000,0,805000000,0,292000000,-1520000000,18352000000,26145000000,8078000000,6148000000,0,4871000000,4871000000,12154000000,20232000000,0,656000000,1746000000,5913000000,0.2261617900172117,0.28135398737808376,0.1902849493210939,0.1315356664754255,2.01
305,3,398000000,5055000000,0,3259000000,874000000,729000000,2565000000,36714000000,17554000000,0,743000000,855000000,2787000000,30040000000,0,229000000,1501000000,1527000000,1481000000,0,0,29000000,0,-140000000,25081000000,22597000000,10037000000,4696000000,1709000000,0,1709000000,9116000000,19153000000,98000000,1444000000,5808000000,3444000000,0.15240961189538435,0.4189051644023543,0.09850865159091915,0.12054697526220294,6.43
129.37,1,115900000,195300000,0,664000000,0,183000000,188900000,1500000000,556200000,100400000,492600000,133700000,0,1470400000,160700000,68900000,125700000,474300000,86700000,0,0,0,1600000,-71200000,-890500000,4362200000,3131900000,0,577500000,0,577500000,577500000,3709400000,4200000,45900000,172600000,652700000,0.14962633533538122,0.18930814726514145,0.13921874283618357,0.11051762871945349,4.06
39.48,8,272471000,542174000,12325000,1001339000,0,938964000,332915000,3746094000,916768000,27378000,104864000,1114277000,98415000,1668198000,0,0,521042000,311627000,328277000,0,211270000,0,29711000,-171298000,351104000,2384737000,1308165000,0,0,0,0,505804000,1813969000,0,63660000,128715000,570768000,0.23934211613272238,0.3012088964107992,0.22053962344694614,0.1671102515707183,1.4
57.55,5,141813142,320000000,393000000,2218000000,5038000000,2279000000,4928000000,611000000,583000000,910000000,595000000,2842000000,1494000000,3716000000,0,0,411000000,1848000000,329000000,0,755000000,690000000,1000000,-5624000000,4409000000,41140000000,40598000000,0,1351000000,0,1351000000,1351000000,41949000000,31000000,339000000,0,-809000000,-0.01966456003889159,-0.02078269324258629,-0.029290228488089452,-0.031113271754982984,-9.34
78.2,1,136955000,447858000,0,2107255000,0,85005000,519283000,1291760000,142693000,0,33721000,984604000,204165000,1351892000,0,12354000,0,354915000,39776000,0,320724000,0,13490000,-76149000,-2411445000,15309508000,14021726000,0,0,0,497806000,497806000,14519532000,0,47719000,100449000,789976000,0.051600351885899925,0.058161568614745814,0.048483399989078683,0.03768690672489279,4.19
