stockPrice,Sector,numberOfShares,cashAndCashEquivalents,shortTermInvestments,netReceivables,inventory,otherCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,longTermInvestments,otherNonCurrentAssets,accountPayables,shortTermDebt,longTermDebt,deferredRevenueNonCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,deferredTaxLiabilitiesNonCurrent,otherLiabilities,capitalLeaseObligations,preferredStock,commonStock,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,revenue,costOfRevenue,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,operatingExpenses,costAndExpenses,interestIncome,depreciationAndAmortization,operatingIncome,operatingIncomeRatio,ebitdaratio,incomeBeforeTaxRatio,netIncomeRatio,epsdiluted
19.9,7,667000000,1029000000,400000000,1479000000,487000000,1836000000,22574000000,1059000000,469000000,966000000,3193000000,1311000000,1868000000,18305000000,0,253000000,0,1664000000,1213000000,0,0,0,8000000,-2229000000,5909000000,10189000000,7840000000,0,196000000,0,196000000,196000000,8036000000,318000000,1050000000,1045000000,2153000000,0.2113063107272549,0.2698989105898518,0.09824320345470605,0.029737952694081853,0.45
52.9,8,742414000,4896000000,91262000000,828000000,0,0,581000000,0,0,122149000000,0,0,0,6569000000,0,5370000000,0,0,0,123809000000,161000000,0,135000000,6615000000,-12082000000,22223000000,0,0,0,0,0,0,17778000000,0,228000000,0,0,0,0.2102776402825901,0.20001799937002204,0.14867479638212663,4.43
75.75,2,314000000,1382000000,0,930000000,679000000,198000000,850000000,3593000000,1107000000,102000000,611000000,354000000,616000000,1791000000,0,0,336000000,774000000,0,0,0,0,3000000,-514000000,5277000000,5163000000,2358000000,404000000,1460000000,0,1460000000,1864000000,4222000000,36000000,74000000,238000000,941000000,0.18225837691264768,0.23842727096649236,0.1779972883982181,0.2074375363160953,3.37
221.86,9,220300000,2248700000,166000000,1415400000,388300000,399900000,10337600000,797100000,419500000,1276200000,1378900000,519300000,98600000,3227400000,49200000,86600000,247400000,869000000,793800000,0,0,0,249400000,-2375600000,-958600000,8918900000,5975500000,72900000,750000000,0,750000000,773600000,6749100000,0,137000000,1082800000,2144400000,0.24043323728262453,0.38792900469788877,0.25670205967103565,0.19733375192007982,7.94
86.38,3,162705999,393745000,1143249000,551943000,0,142676000,1152153000,1600265000,179431000,835384000,931512000,138946000,139463000,1839791000,4368000,71241000,71223000,272463000,29187000,0,831644000,0,1620000,-45144000,3653486000,2893617000,987624000,261365000,423662000,523883000,947545000,1328002000,2315626000,34355000,49364000,440674000,548918000,0.1896996043360265,0.3529917746543513,0.1840191704707292,0.16520327327355347,2.9
67.75,1,123279000,221000000,1300000000,323000000,72000000,121000000,8613000000,1943000000,122000000,0,278000000,146000000,504000000,2703000000,1240000000,0,1650000000,901000000,715000000,0,1708000000,0,1000000,-465000000,-338000000,8781000000,6802000000,0,0,313000000,313000000,872000000,7674000000,42000000,63000000,423000000,1063000000,0.12105682724063319,0.1710511331283453,0.11570436169001252,0.0875754469878146,6.19
73.04,9,105949000,613110000,0,752448000,768984000,90567000,5043337000,1578785000,354622000,579813000,63922000,574138000,210473000,2977607000,0,32461000,0,591924000,397858000,0,137823000,0,1061000,-395735000,1383446000,3589427000,2331649000,58287000,0,0,533368000,591655000,2923304000,0,57695000,213484000,666123000,0.18557920247437823,0.2486658734109929,0.1568356174954944,0.1485551872206901,5.02
161.58,10,112204000,189681000,0,11126000,0,64332000,462032000,0,0,1527400000,16135932000,198994000,384000000,6777479000,275863000,0,0,32133000,0,0,271808000,0,1208000,-9749000,8874367000,1531296000,445492000,0,108823000,0,108823000,653435000,1098927000,0,173675000,544612000,432369000,0.2823549463983449,0.7062331515265501,0.2638595020165925,0.23716185505610934,3.12
279.04,2,79424000,550425000,318202000,620976000,112051000,31765000,631730000,63924000,11768000,0,95854000,87250000,15737000,0,0,14130000,563762000,290091000,0,0,59200000,0,8000,-688000,906937000,2406796000,662899000,157361000,1072053000,0,1072053000,1229414000,1892313000,12482000,0,78990000,542493000,0.225400490943146,0.26346769730380143,0.23377594112670955,0.18396906094243134,5.53
124.54,1,93600000,355300000,0,344000000,269900000,32600000,291400000,873300000,510900000,0,177300000,221000000,100000,1427600000,0,12800000,0,273100000,107800000,0,0,0,900000,-218600000,0,2854000000,1601700000,0,0,687200000,687200000,687200000,2288900000,1800000,56000000,83000000,565100000,0.19800280308339174,0.21510161177295026,0.1665031534688157,0.14078486334968465,4.26
54.72,7,238500000,16300000,0,402100000,227300000,229800000,13527100000,0,0,467800000,1830300000,422300000,994600000,5533000000,0,0,0,637200000,1714000000,0,0,0,2500000,1300000,2435900000,3647700000,2192000000,0,0,0,0,678000000,2870000000,0,272900000,567200000,777700000,0.21320284014584534,0.4046933684239384,0.17438385832168216,0.15555007264851825,2.33
112.45,8,328200000,338000000,4256000000,15683000000,0,74895000000,1145000000,2545000000,481000000,79540000000,-58933000000,6912000000,0,6631000000,0,0,0,80409000000,1154000000,0,0,2248000000,9000000,1950000000,-26283000000,44675000000,0,0,5804000000,0,114000000,38224000000,38586000000,0,327000000,647000000,0,0,0.15809736989367656,0.13629546726357022,0.1084946838276441,14.03
66.9695,4,13851914459,18498000000,101177000000,27492000000,999000000,4412000000,84587000000,20624000000,1979000000,13078000000,2342000000,5561000000,1199000000,14768000000,358000000,274000000,1908000000,36279000000,1701000000,0,12009000000,0,50552000000,-1232000000,0,161857000000,71896000000,26018000000,9551000000,18464000000,28015000000,54033000000,125929000000,2427000000,100000000,11781000000,34231000000,0.2114891540063142,0.31821916877243495,0.24481486744471972,0.2121811228430034,2.458001
66.851,4,13851914459,18498000000,101177000000,27492000000,999000000,4412000000,84587000000,20624000000,1979000000,13078000000,2342000000,5561000000,1199000000,14768000000,358000000,274000000,1908000000,36279000000,1701000000,0,12009000000,0,50552000000,-1232000000,0,161857000000,71896000000,26018000000,9551000000,18464000000,28015000000,54033000000,125929000000,2427000000,100000000,11781000000,34231000000,0.2114891540063142,0.31821916877243495,0.24481486744471972,0.2121811228430034,2.458001
49.91,5,1857981554,2117000000,0,268000000,2293000000,146000000,1999000000,5177000000,12687000000,23581000000,1003000000,325000000,1000000000,27042000000,0,0,0,6849000000,5083000000,0,0,0,935000000,-2864000000,-28388000000,19796000000,7085000000,0,199000000,1983000000,2182000000,2226000000,9311000000,42000000,1322000000,226000000,10326000000,0.5216205293998788,0.11714487775308143,0.03869468579511012,-0.06531622550010104,-0.7
92.392,6,9880000000,36092000000,18929000000,20816000000,20497000000,0,72705000,14754000000,4049000000,0,110038295000,47183000000,0,23414000000,0,0,8190000000,32439000000,0,0,0,0,5000000,-986000000,31821000000,280522000000,205768000000,35931000000,5203000000,18878000000,24081000000,60213000000,265981000000,,1600000000,21789000000,14541000000,0.05183550666257905,0.13314820228003507,0.04982140438183102,0.04130870306072251,1.1496031746031745
11.43,9,1180300000,601600000,0,1864300000,1953800000,790400000,3975000000,5156000000,2306800000,98900000,227300000,2303400000,794200000,5309000000,0,0,0,1444200000,1011700000,0,0,0,16300000,-722400000,5991400000,9458200000,7659100000,64000000,0,0,999000000,876600000,8535700000,16800000,207900000,453000000,922500000,0.09753441458205578,0.13349263073312045,0.06387050390137658,0.045484341629485524,0.363
46.18,3,1091000000,1466000000,37000000,1859000000,982000000,253000000,705000000,289000000,210000000,58000000,169000000,988000000,43000000,685000000,0,0,2000000,1326000000,0,0,242000000,0,12000000,0,9910000000,6731000000,3863000000,1547000000,0,0,750000000,2237000000,6100000000,15000000,94000000,258000000,631000000,0.09374535730203536,0.10756202644480761,0.05526667657108899,0.05066112019016491,0.3
76.8,7,245600000,16000000,0,734000000,494000000,187000000,24376000000,411000000,0,847000000,1868000000,874000000,882000000,8915000000,0,0,0,749000000,2919000000,0,0,0,2000000,-17000000,5694000000,5910000000,3167000000,0,0,0,0,1476000000,4643000000,33000000,381000000,1081000000,1267000000,0.2143824027072758,0.4182741116751269,0.17191201353637903,0.1401015228426396,3.35
28.68,1,443363000,280000000,3546000000,1750000000,1851000000,779000000,43732000000,4091000000,2084000000,0,1237000000,2062000000,4569000000,28875000000,5422000000,0,8001000000,3679000000,0,0,9129000000,0,4000000,-6331000000,3945000000,45768000000,35379000000,0,0,1602000000,1602000000,6702000000,42081000000,127000000,1095000000,2318000000,3065000000,0.0669681873798287,0.12386383499388219,0.04929208180388044,0.036837965390665965,3.79
94.51,7,493694345,246800000,202700000,1705100000,1169200000,754000000,61095500000,52500000,0,3833800000,6832700000,2085800000,4671100000,25861400000,0,1357800000,366100000,1818300000,7588200000,0,968700000,0,3343400000,-147700000,6535600000,15561400000,6320000000,0,0,0,0,6492700000,12812700000,0,1072500000,2740100000,2592300000,0.1665852686776254,0.3676275913478222,0.11790712917860861,0.12345290269513026,3.88
124.49,8,828000000,23845000000,6607000000,56794000000,0,0,4834000000,3315000000,267000000,8406000000,0,12738000000,6442000000,57835000000,2062000000,1122000000,0,0,0,175250000000,25000000,0,163000000,-2737000000,11774000000,43556000000,0,0,5911000000,7114000000,13025000000,0,0,12084000000,3464000000,1188000000,0,0,0.30032601708145834,0.19352098447975022,0.15517953898429607,7.99
51.33,8,876750264,2856000000,264316000000,10274000000,0,0,0,4038000000,0,271839000000,0,0,0,35350000000,0,0,0,0,0,457637000000,0,485000000,4766000000,4982000000,32358000000,49792000000,0,0,8537000000,0,8537000000,0,44505000000,2030000000,1417000000,5006000000,0,0,0.21965375964010284,0.10618171593830335,0.06723971722365038,3.74
229.82,10,442319000,1501200000,0,675800000,0,376800000,19441800000,6178300000,12318400000,0,2177500000,148100000,3422700000,21127200000,525900000,253300000,294300000,1369300000,768300000,0,7004900000,0,4500000,-2823600000,8891300000,7580300000,2216800000,0,730400000,0,730400000,2675100000,4891900000,46800000,814200000,1778400000,2688400000,0.3546561481735551,0.5910320172024854,0.2528132131973669,0.24904027545083968,4.24
122.85,7,181000000,60000000,0,466000000,44000000,715000000,18335000000,1501000000,67000000,0,1494000000,203000000,814000000,8728000000,0,46000000,0,982000000,1893000000,0,89000000,0,2000000,-36000000,6362000000,3610000000,1544000000,0,0,0,0,862000000,2406000000,0,-382000000,582000000,1170000000,0.32409972299168976,0.28614958448753464,0.23074792243767314,0.17202216066481996,3.43
166.58,8,134100000,3827000000,33129000000,7210000000,0,-41780000000,0,0,0,33138000000,84826000000,0,201000000,4668000000,14430000000,0,0,141230000000,0,0,57000000,0,3000000,262000000,-8815000000,12890000000,0,0,3287000000,3810000000,7097000000,10521000000,10658000000,0,350000000,183000000,0,0,0.21450737005430567,0.17315748642358417,0.14685802948021723,13.92
82.33,2,210165000,3374194000,0,12386879000,11060254000,1310727000,1770516000,6705507000,2294836000,0,269067000,28385074000,139012000,4033880000,0,0,0,1057208000,1860195000,0,0,0,2853000,-111965000,-1247462000,179589121000,174450809000,0,0,2663508000,2663508000,3125915000,177576724000,37705000,195474000,497512000,1111923000,0.006191483057595677,0.009250682840638215,0.005385103477398278,0.004762899864073615,4.04
99.74,1,227759000,393030000,0,744760000,624567000,263414000,548908000,4047539000,2762872000,279790000,179679000,377219000,540474000,2271292000,0,30292000,156818000,321055000,536140000,0,43025000,0,2662000,-533139000,-741643000,5158557000,3370897000,0,610280000,0,610280000,610280000,3981177000,0,88481000,234042000,1177380000,0.2282382456954532,0.2698954378133265,0.2073734961152896,0.1669647151325458,3.75
241.07,2,605000000,6037000000,2874000000,4057000000,3584000000,1888000000,4928000000,14703000000,19413000000,0,2223000000,1371000000,2953000000,26950000000,0,0,0,8511000000,606000000,0,0,0,31531000000,-528000000,0,23362000000,4356000000,4116000000,5150000000,0,5150000000,9332000000,13688000000,753000000,1289000000,2206000000,9674000000,0.4140912593099906,0.5407499357931684,0.3911480181491311,0.3356733156407842,12.88
54.115,3,595000000,891200000,17400000,1736400000,1310100000,256100000,999000000,4867100000,442000000,0,296200000,866800000,403300000,3203400000,0,127900000,0,734700000,260400000,0,0,0,300000,-430900000,1612500000,8225400000,5609400000,0,971400000,0,971400000,971400000,6580800000,0,117600000,312100000,1619200000,0.1968536484547864,0.23300994480511586,0.18186349600019452,0.14041870304179735,1.875
109.37,3,369133000,648322000,0,635136000,609886000,91782000,1219989000,12256880000,4217224000,30170000,100870000,225270000,299667000,5192252000,0,187879000,0,795816000,2088212000,0,0,0,61385000,-187799000,4936349000,5991065000,1977315000,1130348000,0,0,648094000,2207483000,4184798000,10229000,229075000,811251000,1710608000,0.2855265299241454,0.4216368875984487,0.24799063271722138,0.2275072962820467,3.65
257.41,3,84259000,872094000,288000,637830000,0,45268000,189307000,2413280000,476711000,0,180032000,14298000,75000000,423531000,0,46394000,351353000,208095000,78643000,0,91768000,0,946000,-65381000,147108000,1515892000,166273000,298210000,521200000,0,521200000,834579000,1000852000,12796000,3461000,78975000,515040000,0.33976035232061386,0.3991174833035599,0.34473630047523174,0.2977092035580371,5.25
208.29,8,238600000,790000000,11972000000,3204000000,0,510000000,1650000000,8165000000,783000000,53000000,1633000000,1939000000,922000000,6627000000,62000000,93000000,270000000,12347000000,199000000,0,1230000000,0,2000000,-4033000000,6152000000,11013000000,0,0,7843000000,0,2226000000,2781000000,8831000000,8000000,307000000,564000000,2169000000,0.19694906020157996,0.24516480523018253,0.169890129846545,0.13910832652319985,6.37
25.59,11,377000000,247000000,0,1062000000,502000000,150000000,14158000000,0,0,1258000000,730000000,695000000,180000000,8555000000,0,51000000,0,929000000,346000000,0,169000000,0,261000000,16000000,8579000000,6315000000,4433000000,0,406000000,0,406000000,1472000000,5905000000,13000000,393000000,0,410000000,0.06492478226444973,-0.38764845605700715,-0.476326207442597,-0.5566112430720507,-9.43
54.705,3,18471336000,48844000000,51713000000,45804000000,4106000000,12352000000,37378000000,0,0,105341000000,32978000000,46236000000,16240000000,91807000000,0,0,5522000000,37720000000,0,0,0,0,45174000000,-584000000,0,260174000000,161782000000,16217000000,0,0,18245000000,34462000000,196244000000,4961000000,3576000000,12547000000,63930000000,0.24572017188496928,0.3146355900282119,0.2526655238417367,0.21238094505984456,2.9725
56.95,3,937000000,3129000000,489000000,2533000000,3474000000,581000000,1529000000,3399000000,156000000,1703000000,265000000,958000000,600000000,4713000000,0,215000000,1336000000,1338000000,0,0,0,0,9000000,-180000000,-16001000000,14608000000,8222000000,2054000000,461000000,521000000,982000000,3036000000,11258000000,156000000,237000000,363000000,3350000000,0.2293263964950712,0.264854874041621,0.22378148959474262,0.1852409638554217,2.86
94.97,6,256810000,412000000,0,2829000000,1286000000,792000000,3722000000,2407000000,1186000000,207000000,454000000,2463000000,487000000,3971000000,0,180000000,43000000,881000000,229000000,0,423000000,0,3000000,-719000000,1645000000,14357000000,11711000000,0,1076000000,0,1076000000,1222000000,12933000000,13000000,164000000,717000000,1276000000,0.08887650623389287,0.139513826008219,0.07842864108100578,0.06895591000905482,3.85
42.89,8,401802815,726230000,18689997000,8244993000,0,0,0,326551000,411532000,24013870000,0,2786532000,484287000,1871626000,0,0,0,0,0,25569809000,0,780000000,638000,212091000,-516364000,6783919000,0,0,80111000,0,80111000,0,4934809000,0,120872000,82104000,0,0,0.2940932814793337,0.2725725351378753,0.24120556274330515,3.87
50.85,3,305248000,1111286000,1613082000,391987000,243825000,111456000,127043000,54855000,45235000,4150000,30346000,92105000,0,83022000,262620000,1716000,312668000,190585000,254710000,0,83022000,0,8000,143000,1106305000,2410706000,866368000,462759000,61898000,213907000,275805000,738564000,1604932000,51144000,51144000,32849000,805774000,0.3342481414158342,0.39252526023496853,0.35768359974215025,0.35668679631609995,2.6575
95.23,8,185994000,604800000,0,5891700000,0,2621000000,860900000,5618500000,2318700000,0,773600000,6348500000,790600000,4157000000,69700000,0,434100000,1347800000,0,0,340900000,0,188100000,-759600000,3825700000,7119700000,4830900000,0,0,0,0,1542900000,6373800000,0,179800000,474400000,745900000,0.10476565023807183,0.17322359088163827,0.08793909855752349,0.09393654227003947,3.52
