Symbol;Year;stockPrice;Sector;numberOfShares;cashAndCashEquivalents;shortTermInvestments;netReceivables;inventory;otherCurrentAssets;propertyPlantEquipmentNet;goodwill;intangibleAssets;longTermInvestments;otherNonCurrentAssets;accountPayables;shortTermDebt;longTermDebt;deferredRevenueNonCurrent;taxPayables;deferredRevenue;otherCurrentLiabilities;deferredTaxLiabilitiesNonCurrent;otherLiabilities;capitalLeaseObligations;preferredStock;commonStock;accumulatedOtherComprehensiveIncomeLoss;othertotalStockholdersEquity;revenue;costOfRevenue;researchAndDevelopmentExpenses;generalAndAdministrativeExpenses;sellingAndMarketingExpenses;sellingGeneralAndAdministrativeExpenses;operatingExpenses;costAndExpenses;interestIncome;depreciationAndAmortization;operatingIncome;operatingIncomeRatio;ebitdaratio;incomeBeforeTaxRatio;netIncomeRatio;epsdiluted;Column1
AOS;2015;38,305;1;175896866;323600000;321600000;501400000;222900000;85800000;442700000;420900000;291000000;0;36600000;424900000;12900000;236100000;0;0;0;215400000;21300000;0;0;0;148100000;-313400000;256900000;2536500000;1526700000;0;0;0;610700000;610700000;2137400000;0;7400000;63000000;399100000;0,157342795;0,186438005;0,158683225;0,111531638;1,58
AOS;2014;28,205;1;178799066;319400000;222500000;475400000;208300000;93400000;427700000;428800000;308500000;0;31300000;393800000;13700000;210100000;0;0;0;197700000;21400000;0;0;0;148200000;-272000000;369600000;2356000000;1496700000;0;0;0;572100000;572100000;2068800000;0;5700000;59800000;287200000;0,121901528;0,149490662;0,121689304;0,08820034;1,14
AOS;2013;26,97;1;182478396;380700000;105300000;458700000;193400000;67500000;391300000;433500000;324800000;0;36300000;387100000;14200000;177700000;0;0;0;189600000;21000000;0;0;0;148500000;-259100000;457100000;2153800000;1380000000;0;0;0;524500000;524500000;1904500000;0;5700000;59700000;249300000;0,115748909;0,140124431;0,109759495;0,078790974;0,915
AOS;2012;15,7675;1;184853376;266900000;196000000;425400000;163400000;55500000;345700000;435400000;338700000;0;36200000;328900000;18600000;225100000;0;0;0;151500000;0;0;0;0;74300000;-320500000;585200000;1939300000;1287300000;0;0;0;450500000;450500000;1737800000;0;9200000;54600000;201500000;0,10390347;0,151446398;0,120558965;0,081833651;0,8525
ABT;2018;72,33;2;1755619422;3844000000;242000000;5182000000;3796000000;1568000000;7563000000;23254000000;18942000000;897000000;17000000;2975000000;207000000;19359000000;0;305000000;0;5525000000;2056000000;0;0;0;23512000000;-7586000000;-9962000000;30578000000;12706000000;2300000000;9744000000;0;9744000000;14222000000;26928000000;105000000;826000000;3278000000;3650000000;0,119366865;0,229282491;0,093956439;0,077441298;1,33
ABT;2017;57,07;2;1743602469;9407000000;203000000;5249000000;3601000000;1687000000;7607000000;24020000000;21473000000;883000000;176000000;2402000000;714000000;27210000000;0;309000000;0;5487000000;2006000000;0;0;0;23206000000;-6062000000;-10225000000;27390000000;12337000000;2235000000;9117000000;0;9117000000;13327000000;25664000000;124000000;904000000;3021000000;1726000000;0,063015699;0,229280759;0,081453085;0,017415115;0,27
ABT;2016;38,41;2;1472869205;18620000000;155000000;3248000000;2434000000;2319000000;5705000000;7683000000;4539000000;2947000000;2753000000;1178000000;1325000000;20681000000;0;188000000;0;3969000000;356000000;0;0;0;13027000000;-7263000000;-10791000000;20853000000;9024000000;1422000000;6672000000;0;6672000000;8644000000;17668000000;99000000;431000000;1353000000;3185000000;0,152735817;0,169472018;0,067760035;0,067136623;0,94
ABT;2015;44,91;2;1472665052;5001000000;1124000000;3418000000;2599000000;2013000000;5730000000;9638000000;5562000000;4041000000;2000000;1081000000;3130000000;5871000000;0;430000000;0;4545000000;808000000;0;0;0;12734000000;-6658000000;-10622000000;20405000000;8747000000;1405000000;6785000000;0;6785000000;8791000000;17538000000;105000000;163000000;1472000000;2867000000;0,140504778;0,325165401;0,155991179;0,216760598;2,92
ABT;2014;45,02;2;1508035434;4063000000;397000000;3586000000;2643000000;4572000000;5935000000;10067000000;6198000000;229000000;1934000000;1064000000;4437000000;3408000000;0;270000000;0;4761000000;860000000;0;0;0;12383000000;-5053000000;-8678000000;20247000000;9218000000;1345000000;6530000000;0;6530000000;8430000000;17648000000;77000000;150000000;1548000000;2599000000;0,128364696;0,236034968;0,124364103;0,112806836;1,49
ABT;2013;38,33;2;1548098286;3475000000;4623000000;3986000000;2693000000;4470000000;5905000000;9772000000;5735000000;119000000;66000000;1026000000;3173000000;3388000000;0;175000000;0;5133000000;466000000;0;0;0;12048000000;-2012000000;-6844000000;21848000000;10040000000;1452000000;6936000000;0;6936000000;9179000000;19219000000;67000000;157000000;1719000000;2629000000;0,12033138;0,21008788;0,115388136;0,117905529;1,62
